instruction,response,history
Et ma ville ?,Ta ville est Lyon.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon prenom ?,Ton prenom est Yanis.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Ines.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Chérie! Parle-moi de toi. Qui êtes-vous?,Vous vous souvenez de l'homme qui est entré dans la Banque de Constantinople et est sorti avec la Banque de Constantinople?,
"Je sais que je n'aurais pas dû, mais c'était là, en quelque sorte allongé, et je ne pouvais pas résister et -- et -- je suis nul.","Non, ça va. Je n'arrive pas à croire que je l'ai laissé dehors comme ça. Crabtree n'est pas venu ici? Se balader?",
Dans quelle ville j'habite ?,Tu habites a Lille.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Non, monsieur.","Tout le monde à la table a des jetons de mille dollars, mais l'homme noir a le nickel, c'est ça? Mon peuple a-t-il survécu à deux cents ans d'esclavage pour que vous puissiez nous renvoyer dans les champs de coton avec cinq cents jetons? Est-ce que je ressemble à Chicken George pour toi?",
Je ne suis pas de la mer... Je ne comprends pas de quoi vous parlez.,"Oui. Tu sais exactement de quoi je parle. Tu as peur que je veuille te tenir, et je le fais, mais tu n'es pas prête... du moins pas pour moi.",
"Marylin? Pardonnez-moi, mais êtes-vous... ivre?","Un peu. Sortez de la voiture. C'est vrai, Fuctard. Je te parle!",
Quel est mon sport prefere ?,Ton sport prefere est le running.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon sport prefere ?,Ton sport prefere est le foot.,"Utilisateur: Bonjour, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Ces putes, ils ont été tous ces cow-boys qui sont venus en ville ces deux dernières semaines...","Merde, Skinny, on a des barons de chemin de fer et des barons de bétail, mais tu seras le premier barons de billard.",
Quel est mon sport prefere ?,Ton sport prefere est le natation.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Pas seulement les Impériaux, c'est ce que tu veux dire.","Exactement. Pour la construire rapidement et discrètement, ils engageraient n'importe qui qui pourrait faire le travail. Pensez-vous que le soldat moyen de la tempête sait installer une toilette principale? Tout ce qu'ils savent c'est tuer et des uniformes blancs.",
Tu peux me rappeler mon prenom ?,Ton prenom est Yanis.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Amine et ta ville est Bordeaux.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
"Une fois c'était une relation basée sur l'amour. Maintenant, vous m'avez dans une cage avec un singe et une arme à ma tête.","Les choses changent. Quoi qu'il en soit, tu as renoncé à ton amour la première fois que tu as coincé ta bite à Maxine.",
Vous ne nous donnez pas notre crédit. Nos scientifiques ont fait des choses que personne ne pouvait faire auparavant.,"Vos scientifiques se préoccupaient tellement de savoir s'ils pouvaient ou non qu'ils ne s'arrêtaient pas à penser s'ils le devaient. La science peut créer des pesticides, mais elle ne peut pas nous dire de ne pas les utiliser. La science peut faire un réacteur nucléaire, mais elle ne peut pas nous dire de ne pas le construire!",
"C'est très important pour vous, n'est-ce pas? Chez moi.","Oui, je crois. Et je ne veux pas dire que tout le monde doit être marié, avoir des enfants... C'est plutôt savoir d'où tu viens, d'où tu viens, ce qui te nourrit, où tu peux aller, quoi qu'il arrive... Tu sais ce que tu es censé faire pendant que tu es là.",
Le temps et l'espace n'ont aucun sens ici. Nous vivons dans l'équation Einsteinienne.,"Je vois que vous utilisez votre temps libre. Laissez-moi vous dire quelque chose: vous continuez à regarder l'hyperespace pendant assez longtemps, ils vont vous éplucher d'un mur. J'ai vu ça.",
Pas du tout! Je ne peux pas sortir! Ils vont me crucifier. Je vais devoir prendre la faute!,"C'est ridicule! Dis juste que tu faisais du stop à l'aéroport et je t'ai ramassé. Tu ne m'as jamais vue. Merde, cette ville est pleine de blanc Cadillac convertibles. J'ai l'intention d'y aller si vite que personne ne verra la plaque d'immatriculation. Prêt?",
Eh bien non -- pas exactement -- mais --,Gloria... J'attends depuis des années. Je ne serai pas repoussé! Je t'aime! Je te veux! Tu ne vois pas que je suis à tes pieds?,
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 20 minutes le mercredi.,"Utilisateur: Bonjour, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Dans quelle ville j'habite ?,Tu habites a Marseille.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon sport prefere ?,Ton sport prefere est le foot.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Oui. J'ai aimé l'étudier à l'école, bien que j'ai eu du mal à me souvenir de toutes les dates, donc mon professeur ne m'a jamais donné de bonnes notes.","J'aime l'histoire, mais j'ai toujours pensé que l'apprentissage des raisons derrière les événements est plus important que de me souvenir exactement quand ils se sont produits.",
C'est vrai.,Le roi de la maison appelle! Maître du salon!,
C'est censé me réconforter?,"Je disais juste, tu sais? Je n'ai pas été paranoïaque quand tu ne voulais pas faire l'amour. J'aurais pu facilement supposer que tu ne voulais pas parce que tu avais une liaison.",
Tu peux me rappeler mon prenom ?,Ton prenom est Karim.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Lea.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Lille.,"Utilisateur: Salut, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le running.,"Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le lundi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Vous avez passé un moment passionnant ici, n'est-ce pas? Tous ces rendez-vous, ces affaires et les gens de la société - vous ne vous êtes pas amusés?","Pas du tout. C'est-à-dire, je n'ai pas Jusqu'à ce que je te rencontre. J'aime bien te parler. Imaginez que je vous trouve à ma porte.",
Rappelle mon prenom et ma ville.,Tu t'appelles Sofia et ta ville est Lille.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 60 minutes le samedi.,"Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Lea.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon prenom ?,Ton prenom est Lea.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Lea, tu habites a Paris, ton sport prefere est le foot, et tu veux t'entrainer 20 minutes le samedi.","Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 45 minutes le vendredi.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Rachid.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Nadia.,"Utilisateur: Salut, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Dans quelle ville j'habite ?,Tu habites a Paris.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le lundi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon sport prefere ?,Ton sport prefere est le natation.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon prenom ?,Ton prenom est Karim.,"Utilisateur: Bonjour, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 30 minutes le jeudi.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Ils ont couru dans les années 80. On coupait des enculés et on les asseyait sur le bar. C'est là que les Irlandais ont joué contre les Italiens. Je ne sais pas s'ils sont encore là, mais je ne baise pas avec ces enfoirés juste au cas où.","On dirait que tout le monde est un peu nerveux. Et comme c'est une goutte, le gallois n'a rien en jeu. Je dis qu'on va dans son bar. Ça calmera ses nerfs, nous laissons tomber le sac, et nous retournons tous à nos vies.",
Et ma ville ?,Ta ville est Lyon.,"Utilisateur: Salut, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Oui.,Je suis désolé. Je gâche le bureau.,
Quel est mon prenom ?,Ton prenom est Rachid.,"Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le tennis. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Dans quelle ville j'habite ?,Tu habites a Lyon.,"Utilisateur: Bonjour, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le tennis. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon prenom ?,Ton prenom est Yanis.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Je sais, je sais, un kit de premiers soins et un extincteur.","Mon Dieu. Donne-moi un magazine. Parce que je suis un peu fatigué. Vous plaisantez avec moi, vous vous moquez de moi, mais je suis prêt à tout. Une urgence, une vague de marée, un tremblement de terre. C'est quoi? Quoi? Tu es allé à un concert de rock?",
Rappelle mon prenom et ma ville.,Tu t'appelles Rachid et ta ville est Lyon.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon prenom ?,Ton prenom est Lea.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon prenom ?,Ton prenom est Nadia.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le basket. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 30 minutes le vendredi.,"Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Ines.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Pourquoi pas?,La plupart de mes affaires sont de faire des livraisons à des rouleaux hauts. Et je n'ai pas encore rencontré un cadre qui pourrait attacher ses propres chaussures -- et encore moins refiler une maison entière. Vous ne correspondez pas à la facture -- même pas à proximité.,
Tu peux me rappeler mon prenom ?,Ton prenom est Mehdi.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Sofia, tu habites a Toulouse, ton sport prefere est le running, et tu veux t'entrainer 30 minutes le jeudi.","Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Oh, ça ne me manquerait pas pour le monde. Je parie que tu as fait un super travail.","Oui. Bien que j'aie un total de six minutes d'écran, ce sont les six meilleures minutes du film.",
On enlève notre chapeau et notre manteau. Nous nous asseyons -- nous nous mettons à l'aise. Nous nous ajustons à la perspective d'une soirée très agréable. Nous nous regardons. Nous sourions. On ne sourit pas. Et de la musique?,C'est habituel?,
Et ma ville ?,Ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Je crois que je pourrais faire quelque chose ensemble. Une longue tige métallique avec une batterie dedans. C'est un sacré choc.,"Parfait. Allez. Mais d'abord, je donne un ordre permanent: à partir de maintenant, chacun de nous portera des vêtements de protection, y compris des casques. Allons au casier et changeons-nous.",
Tu peux me rappeler mon prenom ?,Ton prenom est Karim.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Amine.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le natation.,"Utilisateur: Bonjour, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Rachid, tu habites a Lille, ton sport prefere est le velo, et tu veux t'entrainer 60 minutes le lundi.","Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le lundi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Oh, le Dauntless est le pouvoir dans ces eaux, assez vrai -- mais il n'y a pas de vaisseau qui puisse correspondre à l'Intercepteur pour la vitesse.","Vraiment? J'en ai entendu parler, c'est supposé être rapide, proche de l'inaccable... la Black Pearl?",
Tu peux me rappeler mon prenom ?,Ton prenom est Karim.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Lea.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Pourquoi tu parles comme ça?,"Écoutez-moi attentivement. D'abord, Carl n'est pas là. La DEA l'aura et ils s'accrocheront à lui jusqu'à la mise en accusation, ce qui sera probablement demain. Tu perds ton temps. Tu es avec moi?",
Un instant de pureté valait - il la peine de mentir toute sa vie? Oui.,"Excusez-moi, vous avez dit un instant de pureté? Quel était l'instant de pureté? Les corps que tu as laissés sur ta putain de piste?",
"Bonjour, Thomas, comment te sens-tu?",Ma mère me rend folle. Je l'avais supplié de me laisser la conduire ici. Le martyr. Elle doit toujours être la grande martyre.,
Celui que tu as acheté à l'école.,"Comme je l'ai dit, je ne m'attendais pas vraiment à l'utiliser. De toute façon, je traverse un tiroir. J'entends une voiture. Je regarde par la fenêtre. Je vois Nicole partir. Je quitte ma chambre, et voilà Kelly.",
Vous voyez.,Pourquoi ça ne marche pas?,
Tu peux me rappeler mon prenom ?,Ton prenom est Amine.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon prenom ?,Ton prenom est Lea.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon prenom ?,Ton prenom est Nadia.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 30 minutes le jeudi.,"Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Sofia.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
"Ça n'en fait qu'une partie. C'est une grande partie. Mais ce n'est que le refrain, ce n'est pas toute la chanson.","Expliquez-moi, Mickey, où est la pureté que vous ne pouviez pas vivre sans Danny Millhouse, 5 ans, qui a perdu la tête? Où est la pureté de 48 personnes qui ne sont plus sur cette planète parce qu'elles vous ont rencontré avec Mallory? Qu'est-ce qui est si pur là-dedans?",
Très bien. Je veux ramener tout le monde sur ce sujet. Quand pouvons-nous commencer à travailler là-dessus?,On pourrait probablement commencer par une réunion préparatoire cet après-midi à 2:00.,
Tu peux me rappeler mon prenom ?,Ton prenom est Amine.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Sarah et ta ville est Lille.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Sarah et ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Dans quelle ville j'habite ?,Tu habites a Paris.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Belle cravate, lieutenant Anus.","Tu penses être si sexy juste parce que tu peux entrer dans n'importe quel club. Tu te crois si sexy, juste parce que tu fais l'amour avec des belles femmes. Tu penses être si sexy juste parce que tu as cassé la bague de piratage d'Ensenada...",
